talk,speaker,speaker_title,speaker_occ,speaker_bio
What a nun can teach a scientist about ecology,Victoria Gill,,Science and environment correspondent,"Driven by a fascination with the natural world, Victoria Gill believes we would all be happier if we knew the stories behind the organisms and materials we interact with every day."
How teachers can help students navigate trauma,Lisa Godwin,,,Lisa Godwin is an educator with the Onslow County School District of North Carolina. 
Epic Engineering,Alex Gendler,,,
"How online marketplaces can help local economies, not hurt them",Amane Dannouni,,Digital markets expert,BCG's Amane Dannouni explores how technology impacts established business models and how digital enablers can unlock greater economic and social value.
The accident that changed the world,Allison Ramsey,,,
Why immigration prisons aren't the answer,César Cuauhtémoc García Hernández,,Immigration Law Expert,"César Cuauhtémoc García Hernández is a law professor at the University of Denver and the author of two books: Crimmigration Law and Migrating to Prison: America's Obsession with Locking Up Immigrants. His op-eds have appeared in The New York Times, The Guardian, and Newsweek, and he publishes crimmigration.com, a blog about criminal & immigration law. He was a Fulbright scholar in Slovenia and is a member of the American Bar Association Commission on Immigration. César was born & raised in McAllen, Texas, and is a graduate of Brown University and Boston College.
"
Imaginative sculptures that explore how we perceive reality,Alicia Eggert,,Interdisciplinary artist,"TED Fellow Alicia Eggert is an artist making words into sculptures, often in the form of flashing neon signs."
5 ways to create stronger connections,Robert Reffkin,,Entrepreneur,Robert Reffkin is on a mission to help everyone find their place in the world.
How to know if it's time to change careers,Chieh Huang,,Entrepreneur,"Chieh Huang is cofounder and CEO of Boxed.com, a company that's disrupting the wholesale shopping club experience."
3 things new parents should consider before going back to work,Emily Oster,,Economist,Emily Oster has a history of rethinking conventional wisdom.
6 ways to improve your relationship with money,Thasunda Duckett,,Banking executive,Thasunda Duckett is the Chief Executive Officer of Chase Consumer Banking.
The secret to giving great feedback,LeeAnn Renninger,,Cognitive psychologist,"LeeAnn Renninger is the founder of LifeLabs Learning, a company that trains managers and teams at innovative companies around the globe. Her specialty is in rapid skill acquisition -- the fastest way to learn a skill that matters most. "
How to embrace emotions at work,Liz Fosslien,,"Author, illustrator",Liz Fosslien uses behavioral science to make work better.
How burnout makes us less creative,Rahaf Harfoush,,Digital anthropologist,"Rahaf Harfoush is a strategist, digital anthropologist and author who focuses on the intersections of emerging technology, innovation and digital culture."
How to make faster decisions,Patrick McGinnis,,"Venture capitalist, writer","Patrick J. McGinnis is a venture capitalist, writer and speaker."
Everything changed when the fire crystal got stolen,Alex Gendler,,,
How bees can keep the peace between elephants and humans,Lucy King,,Human-elephant ambassador,Zoologist Dr. Lucy King helms the Human-Elephant Coexistence Program for the Kenyan research charity Save the Elephants.
What if the poor were part of city planning?,Smruti Jukur Johari,,Urban planner,"Smruti Jukur Johari works hand in hand with the urban poor to solve urban planning problems by applying unusual and innovative design solutions to dense, complex and neglected city landscapes."
The science of friction -- and its surprising impact on our lives,Jennifer Vail,,Tribologist,Jennifer Vail combines mechanical engineering and materials science to investigate interacting surfaces in relative motion.
The health benefits of clowning around,Matthew A. Wilson,,Medical clown,Polymath and former medical clown Matthew A. Wilson is a playful communicator helping companies improve employee and customer experiences.
Do politics make us irrational?,Jay Van Bavel,,,
Tiny robots with giant potential,Paul McEuen,,Physicist,Paul McEuen's research explores the nanoscale world.
"The life, legacy & assassination of an African revolutionary",Lisa Janae Bacon,,,
The real story of Rosa Parks -- and why we need to confront myths about Black history,David Ikard,,Professor of African American and Diaspora Studies,"David Ikard explains why the whitewashing of black history should be a major concern for us all, even self-identified white liberals. 

"
Dictators hate political cartoons -- so I keep drawing them,Rayma Suprani,,Political cartoonist,"An award-winning satirist, Venezuelan cartoonist Rayma Suprani's life's work is speaking truth to power -- even when being outspoken comes at a steep price."
"The Chasm | Think Like A Coder, Ep 6",Alex Rosenthal,,Producer,Alex Rosenthal takes everyday experiences and turns them into mind-bending puzzles.
Parasitic worms hold back human progress. Here's how we can end them,Ellen Agler,,Global health activist,Ellen Agler is passionate about improving the health and well-being of the most vulnerable members of our human family.
How humans and AI can work together to create better businesses,Sylvain Duranton,,Management consultant,BCG's Sylvain Duranton thinks that only human input can save us from a high-tech bureaucracy.
How virtual reality turns students into scientists,Jessica Ochoa Hendrix,,"Education activist, entrepreneur",Jessica Ochoa Hendrix builds award-winning educational games and experiences for K-12 learners.
"A new type of medicine, custom-made with tiny proteins",Christopher Bahl,,Molecular engineer,TED Fellow Christopher Bahl uses computational protein design -- building never-before-seen-in-nature proteins with the aid of computers -- to develop new medicines for use in combating infectious diseases.
Licking bees and pulping trees,Kenny Coogan,,,
How bones make blood,Melody Smith,,,
How the magic of kindness helped me survive the Holocaust,Werner Reich,,"Holocaust survivor, magician",Werner Reich travels around the world to speak about his life story and the importance of taking care of each other.
,,,,
The unpaid work that GDP ignores -- and why it really counts,Marilyn Waring,,Economist,Marilyn Waring advocates for a public policy database that recognizes all unpaid work -- and the preservation of ecosystems -- instead of relying on GDP.
Why is cotton in everything?,Michael Stiff,,,
Does photographing a moment steal the experience from you?,Erin Sullivan,,"Travel photographer, writer, host",Erin Sullivan believes that the magic in this world can be communicated through images that blend art and science.
A personal health coach for those living with chronic diseases,Priscilla Pemu,,Physician,"Priscilla Pemu is a medical doctor who specializes in the care of adults with complex medical problems, focusing on the in-patient."
Are indoor vertical farms the future of agriculture?,Stuart Oda,,"Entrepreneur, urban farmer",Stuart Oda is an indoor urban farmer with a passion for innovation and sustainability. His goal: democratize access to fresh and nutritious food by democratizing the means and knowledge of production.
What was so special about Viking ships?,Jan Bill,,,
How designing brand-new enzymes could change the world,Adam Garske,,Enzyme engineer,"Adam Garske loves enzymes and thinks you should, too. He engineers enzymes for use in industrial applications, ranging from laundry detergents to animal nutrition."
